Marca,Modelo,Linea,Producto,Modelo_2,Num_parte,Posicion,Desde,Hasta,Link
MERCEDES BENZ,1112,Monroe Magnum - Mediano,Amortiguadores,CAMION LAG 1112,72023,DELANTERO,1971-01,1987-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/618/p/monroe
MERCEDES BENZ,1112,Monroe Magnum - Mediano,Amortiguadores,CAMION L 1112/AB,72022,DELANTERO,1971-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/2067/p/monroe
MERCEDES BENZ,1112,Monroe Magnum - Mediano,Amortiguadores,CAMION LAS 1112,72023,DELANTERO,1971-01,1987-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/617/p/monroe
MERCEDES BENZ,1112,Monroe Magnum - Mediano,Amortiguadores,CAMION LK 1112/AB,72022,DELANTERO,1971-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/2069/p/monroe
MERCEDES BENZ,1112,Monroe Magnum - Mediano,Amortiguadores,CAMION LA 1112,72023,DELANTERO,1971-01,1987-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/616/p/monroe
MERCEDES BENZ,1112,Monroe Magnum - Mediano,Amortiguadores,L 1112 ELASTICO ORIGINAL,72022,DELANTERO,1971-10,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/2209/p/monroe
MERCEDES BENZ,1112,Monroe Magnum - Mediano,Amortiguadores,OMNIBUS LAO 1112,72023,DELANTERO,1971-10,1987-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/1962/p/monroe
MERCEDES BENZ,1112,Monroe Magnum - Mediano,Amortiguadores,LO 1112 ELASTICO ORIGINAL,72022,DELANTERO,1971-10,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/2210/p/monroe
MERCEDES BENZ,1112,Monroe Magnum - Mediano,Amortiguadores,L 1112 ELASTICO SUPLEMENTADO,72023,DELANTERO,1971-10,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/2208/p/monroe
MERCEDES BENZ,1112,Monroe Magnum - Mediano,Amortiguadores,OMNIBUS LO 1112/AB,72022,DELANTERO,1971-10,1986-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/1959/p/monroe
MERCEDES BENZ,1112,Monroe Magnum - Mediano,Amortiguadores,LO 1112 ELASTICO SUPLEMENTADO,72023,DELANTERO,1971-10,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/2207/p/monroe
MERCEDES BENZ,1112,Monroe Magnum - Pesado,Amortiguadores,OMNIBUS LAO 1112,98012,TRASERO,1971-10,1987-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/1964/p/monroe
MERCEDES BENZ,1112,Especiales HD,Amortiguadores,CABINA LS 1112,38052,DELANTERO,1988-06,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69765
MERCEDES BENZ,1112,Especiales HD,Amortiguadores,CABINA LS 1112,38052MI,DELANTERO,1988-06,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69773/p/monroe
MERCEDES BENZ,1518,Monroe Magnum - Mediano,Amortiguadores,CAMION LK 1518,72028,DELANTERO,1975-01,1987-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/641/p/monroe
MERCEDES BENZ,1518,Monroe Magnum - Mediano,Amortiguadores,CAMION L 1518,72028,DELANTERO,1975-01,1978-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/624/p/monroe
MERCEDES BENZ,1518,Monroe Magnum - Mediano,Amortiguadores,CAMION LS 1518,72028,DELANTERO,1975-01,1978-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/628/p/monroe
MERCEDES BENZ,1518,Monroe Magnum - Pesado,Amortiguadores,CAMION LS 1518,98012,TRASERO,1975-01,1978-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/634/p/monroe
MERCEDES BENZ,1518,Monroe Magnum - Pesado,Amortiguadores,CAMION LK 1518,98011,DELANTERO,1975-01,1987-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/61115/p/monroe
MERCEDES BENZ,1518,Monroe Magnum - Pesado,Amortiguadores,CAMION LK 1518,98012,TRASERO,1975-01,1987-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/647/p/monroe
MERCEDES BENZ,1518,Monroe Magnum - Pesado,Amortiguadores,CAMION L 1518,98012,TRASERO,1975-01,1978-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/631/p/monroe
MERCEDES BENZ,1518,Monroe Magnum - Pesado,Amortiguadores,CAMION LS 1518,98011,DELANTERO,1975-01,1978-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/61116/p/monroe
MERCEDES BENZ,1518,Monroe Magnum - Pesado,Amortiguadores,CAMION L 1518,98011,DELANTERO,1975-01,1978-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/61109/p/monroe
MERCEDES BENZ,1518,Monroe Magnum - Pesado,Amortiguadores,OMNIBUS OH 1518,98013,DELANTERO,2005-04,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/68083/p/monroe
MERCEDES BENZ,1518,Monroe Magnum - Pesado,Amortiguadores,OMNIBUS OH 1518,98015,TRASERO,2005-04,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/68084/p/monroe
MERCEDES BENZ,1616,Monroe Magnum - Mediano,Amortiguadores,CAMION L 1616/51,72023,DELANTERO,1979-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/2092/p/monroe
